token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct
ETuS3nDQ,ETuS3nDQ...5Wpump,4xdUeRXE...,naLjS2a4...,2025-11-09 10:40:38,2025-11-09 10:43:51,378865932,378866412,480,193,0.0022337962962962962,2890366.021194,2890366.021194,2890366.021194,0.654394264,0.742148194,2.264053269383758e-07,2.567661633710395e-07,0.08775392999999998,So111111,So111111,13.40994792093715
ETuS3nDQ,ETuS3nDQ...5Wpump,5crdBag2...,5YdQWiEA...,2025-11-09 10:55:52,2025-11-09 10:59:04,378868218,378868692,474,192,0.0022222222222222222,3119513.781624,3119513.781624,3119513.781624,0.606550778,0.587745575,1.9443760164580306e-07,1.8840935355445785e-07,-0.018805202999999937,So111111,So111111,-3.100350981661737
ETuS3nDQ,ETuS3nDQ...5Wpump,4opmbKWW...,2zky8okS...,2025-11-09 11:03:56,2025-11-09 11:07:55,378869412,378870012,600,239,0.002766203703703704,3383562.172408,3383562.172408,3383562.172408,0.5591069479999999,0.605896842,1.6524210861539952e-07,1.7907069860897452e-07,0.046789894000000144,So111111,So111111,8.368684053627629
ETuS3nDQ,ETuS3nDQ...5Wpump,3WxBWK2Q...,sMhhk4Kc...,2025-11-09 11:09:30,2025-11-09 11:11:54,378870252,378870612,360,144,0.0016666666666666668,3447555.609316,3447555.609316,3447555.609316,0.548747055,0.668986013,1.591698922904023e-07,1.9404647489724695e-07,0.12023895800000012,So111111,So111111,21.91154501959016
HYNSwHiP,HYNSwHiP...NbgNhv,4d4snW29...,B2ejYMik...,2025-11-09 10:41:50,2025-11-09 10:47:26,378866111,378866951,840,336,0.0038888888888888888,2251718.907102,2251718.907102,2251718.907102,0.8080760029999999,0.865858177,3.588707278032351e-07,3.845320898043948e-07,0.05778217400000009,So111111,So111111,7.15058655194345
HYNSwHiP,HYNSwHiP...NbgNhv,28YcuYqb...,jRxnQipx...,2025-11-09 11:35:28,2025-11-09 11:37:03,378874151,378874391,240,95,0.001099537037037037,1943479.596568,1943479.596568,1943479.596568,0.938995421,0.906078861,4.831516742744182e-07,4.66214753476213e-07,-0.03291655999999989,So111111,So111111,-3.5055080423017193
Fb1esBp8,Fb1esBp8...oy3meB,BYgqgZ1a...,5h39yUwk...,2025-11-09 10:42:42,2025-11-09 10:44:18,378866241,378866481,240,96,0.0011111111111111111,3432131.208322,3432131.208322,3432131.208322,0.5161510260000001,0.181922778,1.5038790613496124e-07,5.300577599098948e-08,-0.3342282480000001,So111111,So111111,-64.7539636974392
GsLMTLye,GsLMTLye...1apump,2coLracn...,4C3t2G23...,2025-11-09 10:43:37,2025-11-09 10:47:36,378866377,378866977,600,239,0.002766203703703704,2496886.675853,2496886.675853,2496886.675853,1.629059174,2.553352668,6.524361677101232e-07,1.0226145594403918e-06,0.9242934940000002,So111111,So111111,56.73787108239201
GsLMTLye,GsLMTLye...1apump,jcmFor4Y...,3J2BB2ZZ...,2025-11-09 11:02:04,2025-11-09 11:03:42,378869137,378869377,240,98,0.0011342592592592593,9125309.988074,9125309.988074,9125309.988074,0.206708555,0.211655665,2.2652222803406172e-08,2.3194353427622276e-08,0.004947110000000006,So111111,So111111,2.3932778205527194
Abc2he3g,Abc2he3g...xJpump,4fzgREZK...,rPH11KV5...,2025-11-09 10:43:53,2025-11-09 10:55:04,378866418,378868098,1680,671,0.007766203703703704,4632558.567876,4632558.567876,4632558.567876,0.38367124999999996,0.369843443,8.282059349676197e-08,7.983567559504616e-08,-0.01382780700000001,So111111,So111111,-3.6040769278386176
Hy99sbZU,Hy99sbZU...z9pump,4guixJFK...,4QvEbiM9...,2025-11-09 10:44:32,2025-11-09 10:46:56,378866515,378866874,359,144,0.0016666666666666668,3881455.398209,3881455.398209,3881455.398209,0.458894658,0.455617196,1.1822747163647569e-07,1.1738308166834355e-07,-0.003277462000000001,So111111,So111111,-0.7142079217666519
Hy99sbZU,Hy99sbZU...z9pump,E1putSgW...,2inJcLeX...,2025-11-09 11:02:12,2025-11-09 11:06:11,378869154,378869754,600,239,0.002766203703703704,3960155.295717,3960155.295717,3960155.295717,0.449818827,0.478323017,1.135861584737572e-07,1.2078390398409817e-07,0.02850419000000007,So111111,So111111,6.336815688686159
Hy99sbZU,Hy99sbZU...z9pump,492YAQhS...,4YpHFCkE...,2025-11-09 11:20:37,2025-11-09 11:24:36,378871914,378872514,600,239,0.002766203703703704,3800026.362432,3800026.362432,3800026.362432,0.468825649,0.428160085,1.2337431488237193e-07,1.1267292491254704e-07,-0.040665564,So111111,So111111,-8.673920483390617
CLTWpCR9,CLTWpCR9...4Vpump,54QtsJr4...,64tQrxkh...,2025-11-09 10:51:09,2025-11-09 10:44:47,378867514,378866554,-960,-382,-0.004421296296296296,1861713.878159,1783535.101696,1783535.101696,1.152031156,1.195943032,6.18801400964585e-07,6.705463945524556e-07,0.09228901240100153,So111111,So111111,8.362132585222115
x1duJmve,x1duJmve...Gapump,3cs6qsn8...,4GBkkMVo...,2025-11-09 10:46:49,2025-11-09 10:49:12,378866856,378867216,360,143,0.0016550925925925926,3218933.40502,3218933.40502,3218933.40502,0.511757694,0.587868551,1.5898362271238737e-07,1.826283669252696e-07,0.07611085699999999,So111111,So111111,14.872440198231773
