token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct
F2rgvoWN,F2rgvoWN...sxpump,64k3YhEu...,2X91mBP7...,2025-10-12 23:32:03,2025-10-12 23:39:41,372915386,372916541,1155,458,0.005300925925925926,341518.136892,341518.136892,341518.136892,0.19997120000000002,0.151048324,5.855361059879461e-07,4.422849262842131e-07,-0.04892287599999998,So111111,So111111,-24.464960954377425
F2rgvoWN,F2rgvoWN...sxpump,5pycPpVs...,ovfU7wzc...,2025-10-12 23:41:16,2025-10-12 23:45:28,372916779,372917399,620,252,0.002916666666666667,472652.876142,472652.876142,472652.876142,0.19996875,0.175545353,4.2307740012550566e-07,3.714043896926601e-07,-0.024423397000000017,So111111,So111111,-12.21360687607439
DjLF7Msg,DjLF7Msg...Xj4P7N,2ftJEhMy...,3Nst4EAm...,2025-10-13 16:53:38,2025-10-13 17:06:06,373072605,373074491,1886,748,0.008657407407407407,209544.103698,209544.103698,209544.103698,0.19997120000000002,0.241886115,9.543155663697572e-07,1.1543446497955968e-06,0.041914915000000025,So111111,So111111,20.96047580851643
DjLF7Msg,DjLF7Msg...Xj4P7N,4HLhCRsd...,4FAHiRjL...,2025-10-13 17:10:21,2025-10-13 17:34:19,373075136,373078785,3649,1438,0.01664351851851852,201611.257927,201611.257927,201611.257927,0.19997120000000002,0.199128186,9.918652462969413e-07,9.876838627339994e-07,-0.0008430140000000025,So111111,So111111,-0.4215677057496259
DjLF7Msg,DjLF7Msg...Xj4P7N,5WgYQ3g2...,5gupKWDt...,2025-10-13 17:37:16,2025-10-13 17:43:37,373079233,373080190,957,381,0.004409722222222222,252991.428271,252991.428271,252991.428271,0.19997120000000002,0.146071882,7.904267799373596e-07,5.773787791874527e-07,-0.053899318000000036,So111111,So111111,-26.953540309804623
6xdfpmgA,6xdfpmgA...mspump,1vcAVSpj...,4XWXyfXM...,2025-10-13 18:24:19,2025-10-13 18:19:21,373086341,373085591,-750,-298,-0.003449074074074074,713686.922288,572518.741394,572518.741394,0.19996875,0.19172782,2.8019113669467656e-07,3.348847926500547e-07,0.03131314306980955,So111111,So111111,19.5201235130352
3BrXeqzN,3BrXeqzN...2Rpump,smWdDFdu...,27cqo1CQ...,2025-10-13 19:36:40,2025-10-13 19:41:24,373097290,373098003,713,284,0.003287037037037037,642245.998266,642245.998266,642245.998266,0.19996875,0.216549694,3.1135849898620724e-07,3.3717562208976395e-07,0.01658094399999999,So111111,So111111,8.291767588685728
56DTV25X,56DTV25X...wjpump,2uAhhowe...,AfCGArP9...,2025-10-13 23:57:06,2025-10-13 23:58:59,373136627,373136917,290,113,0.0013078703703703703,196536.60266,196536.60266,196536.60266,0.19997120000000002,0.20970738,1.0174756116342447e-06,1.06701437371839e-06,0.009736179999999964,So111111,So111111,4.8687911059192235
56DTV25X,56DTV25X...wjpump,kcF3ih41...,cfmYwVgn...,2025-10-15 00:17:29,2025-10-15 00:18:37,373357307,373357480,173,68,0.000787037037037037,644491.465807,644491.465807,644491.465807,0.19996875,0.158660469,3.1027369733997817e-07,2.4617931720993903e-07,-0.041308280999999974,So111111,So111111,-20.65736821378339
CFJxqK6W,CFJxqK6W...nupump,2bvxKSqB...,4GJwCCwZ...,2025-10-14 00:19:00,2025-10-14 00:20:30,373139932,373140159,227,90,0.0010416666666666667,231870.236695,231870.236695,231870.236695,0.19997120000000002,0.175408664,8.624272043291193e-07,7.564949538164787e-07,-0.024562536000000024,So111111,So111111,-12.283036757293065
