token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct
77dWwoDL,77dWwoDL...YLpump,5ueMbEaa...,3GHbsSB4...,2025-09-03 03:06:48,2025-09-03 04:30:14,364234723,364247363,12640,5006,0.05793981481481481,1465201.4652,1999246.859058,1465201.4652,0.493116236,0.238669419,3.3655183107033656e-07,1.1937966435643453e-07,-0.3182009768698679,So111111,So111111,-64.52859460702646
3arUrpH3,3arUrpH3...4npump,3ZBziDVN...,6ZEpoFJL...,2025-09-03 04:39:09,2025-09-03 05:32:18,364248714,364256770,8056,3189,0.03690972222222222,2297107.941101,2297107.941101,2297107.941101,0.919361545,2.834944576,4.0022566138505076e-07,1.234136422270699e-06,1.9155830309999997,So111111,So111111,208.36014312519455
3t33uqgr,3t33uqgr...E6pump,5o92niJ3...,2gVdErDo...,2025-09-03 06:26:07,2025-09-03 08:12:14,364264951,364281078,16127,6367,0.07369212962962964,5999421.873891,5999421.873891,5999421.873891,0.530321018,0.349476755,8.839535361030607e-08,5.8251738641833915e-08,-0.18084426300000003,So111111,So111111,-34.10090433187395
7xkzkk9K,7xkzkk9K...wQpump,2YanW2xY...,5EQqmvCN...,2025-09-03 06:45:49,2025-09-03 08:12:02,364267931,364281047,13116,5173,0.05987268518518519,2113896.757281,2113896.757281,2113896.757281,1.4628684820000002,1.178349985,6.9202456409537e-07,5.574302439044625e-07,-0.2845184970000001,So111111,So111111,-19.449355871760453
FY9Hzqxt,FY9Hzqxt...Appump,321nGvRS...,2kQgBL9Q...,2025-09-03 08:19:09,2025-09-03 22:41:14,364282122,364412847,130725,51725,0.5986689814814815,2356406.480117,2356406.480117,2356406.480117,1.799682072,0.151816749,7.637400793052658e-07,6.442723285689742e-08,-1.647865323,So111111,So111111,-91.56424618758996
JDvsf5t2,JDvsf5t2...1iMBU1,4mwaw5Kk...,3JnPEWQf...,2025-09-03 22:52:08,2025-09-04 04:43:14,364414488,364467614,53126,21066,0.24381944444444445,1776320.28421,1823479.5291900001,1776320.28421,0.7620358779999999,0.657336691,4.2899689024207e-07,3.6048482062861033e-07,-0.12169937896759594,So111111,So111111,-15.970295163398585
7hWcHohz,7hWcHohz...o18Fy3,38N9kKV2...,4xeVRGdH...,2025-09-15 21:45:41,2025-09-03 23:08:53,367005669,364417010,-2588659,-1031808,-11.942222222222222,4194516635958.581,1433547328379.184,1433547328379.184,2.105,0.799958761,5.018456672586161e-13,5.580274506210127e-13,0.08053924544274177,So111111,So111111,11.195032064199228
7hWcHohz,7hWcHohz...o18Fy3,5s15iDEd...,XsWQHtMZ...,2025-09-15 22:21:16,2025-09-04 10:36:12,367011071,364521080,-2489991,-992704,-11.48962962962963,993784781027.199,1724266658426.948,993784781027.199,0.5,0.965457899,5.031270447542861e-13,5.599237764539211e-13,0.05644372757518235,So111111,So111111,11.288745515036469
7hWcHohz,7hWcHohz...o18Fy3,5nVWLZqs...,4QqqZS9Y...,2025-09-24 05:19:12,2025-09-23 23:21:56,368820970,368767033,-53937,-21436,-0.24810185185185185,4540401972467.169,5188301416985.78,4540401972467.169,2.1,2.378887653,4.625141149912107e-13,4.585099171786457e-13,-0.018180667646318757,So111111,So111111,-0.8657460783961346
7hWcHohz,7hWcHohz...o18Fy3,nsiDja5W...,66XngNRZ...,2025-10-31 04:26:11,2025-09-25 01:35:37,376870070,369004963,-7865107,-3120634,-36.11844907407407,4253702015724.939,1403324952842.5042,1403324952842.5042,2.2,0.6428751619999999,5.171965482930201e-13,4.581085519058322e-13,-0.08291965974360846,So111111,So111111,-11.42466951533313
35uzKzPN,35uzKzPN...b9pump,4VmpxbTm...,2GK1zX8p...,2025-09-03 23:09:50,2025-09-04 04:43:29,364417154,364467648,50494,20019,0.2317013888888889,3112356.053532,3112356.053532,3112356.053532,0.745253382,0.602098753,2.394499116366403e-07,1.934543293389326e-07,-0.14315462899999995,So111111,So111111,-19.20885331856166
CaXVqUWv,CaXVqUWv...7Tpump,2VsRdU1S...,4r4dqqDV...,2025-09-04 04:49:08,2025-09-04 06:49:20,364468495,364486696,18201,7212,0.08347222222222223,2375597.550407,2679126.660015,2375597.550407,1.128952326,0.846828959,4.7522878014694955e-07,3.1608395811912033e-07,-0.378064049369269,So111111,So111111,-33.488043796215095
F6E8uz71,F6E8uz71...mkpump,5BRwj9mJ...,8emwjsJJ...,2025-09-04 06:53:07,2025-09-04 12:29:08,364487268,364538156,50888,20161,0.2333449074074074,1180980.006215,1180980.006215,1180980.006215,0.8512384639999999,0.063022824,7.207899028944526e-07,5.336485263792566e-08,-0.7882156399999999,So111111,So111111,-92.59633737603285
