token,token_address,buy_sig,sell_sig,buy_time,sell_time,buy_slot,sell_slot,slot_diff,hold_seconds,hold_days,buy_amount,sell_amount,amount_traded,cost,proceeds,cost_per_token,proceeds_per_token,profit,cost_token,proceeds_token,pnl_pct,num_sells,largest_sell_pct
3KKTghub,3KKTghub...eDpump,2q2QbsTZ...,EdJhfYeS...,2025-10-31 06:35:52,2025-10-31 06:52:55,376889488,376892036,2548,1023,0.011840277777777778,3318393.084675,3318393.084675,3318393.084675,2.4803641830000003,3.19999401,7.474594237960584e-07,9.643203587839578e-07,0.7196298269999999,So111111,So111111,29.01307122285597,1,100.0
4LTqyP96,4LTqyP96...kVpump,2bL4qYaA...,SfGcC5Bw...,2025-10-31 09:50:41,2025-10-31 09:53:32,376918670,376919091,421,171,0.001979166666666667,4208117.604387,5138930.512798,4208117.604387,2.405000908,1.72289695,5.715146614469056e-07,3.3526371794856825e-07,-0.9941717543883918,So111111,So111111,-41.33768727826159,1,100.0
4q3kC74Q,4q3kC74Q...5Kpump,5UTdCmi6...,46dBYMe8...,2025-11-01 08:38:04,2025-11-01 08:42:28,377122096,377122749,653,264,0.0030555555555555557,3257279.232887,5887736.821502,3257279.232887,1.45996591,1.130523632,4.482163811009839e-07,1.92013275435704e-07,-0.8345250554846697,So111111,So111111,-57.16058503617183,1,100.0
6oqv2r6H,6oqv2r6H...wbpump,2JHxxmH5...,3sarhHrJ...,2025-11-01 09:19:36,2025-11-01 09:20:22,377128308,377128424,116,46,0.0005324074074074074,5964944.737387,5964944.737387,5964944.737387,2.5616327230000002,0.556453943,4.2944785505626456e-07,9.328735931319958e-08,-2.00517878,So111111,So111111,-78.27737216175467,1,100.0
7EzzEvDq,7EzzEvDq...KP7JKC,5YU7AnL1...,oVXWd39u...,2025-11-02 12:13:26,2025-11-02 12:13:36,377370005,377370030,25,10,0.00011574074074074075,2046188.007125,4379079.256884,2046188.007125,0.6750585909999999,1.492045581,3.299103448213892e-07,3.407213008658097e-07,0.022121248603648815,So111111,So111111,3.2769375723193717,1,100.0
CWryLYq4,CWryLYq4...RLpump,2GANmrFX...,nLppUect...,2025-11-03 10:04:56,2025-11-03 10:02:58,377566537,377566236,-301,-118,-0.0013657407407407407,8129523.349419,7805983.432924,7805983.432924,2.5026354630000003,2.503031538,3.078452887620845e-07,3.206555022193281e-07,0.09999631401946385,So111111,So111111,4.161250447832554,3,42.46857597402061
CWryLYq4,CWryLYq4...RLpump,4CF4cueg...,2VQnc38q...,2025-11-03 10:05:08,2025-11-03 10:03:46,377566567,377566356,-211,-82,-0.0009490740740740741,3394926.326062,7805983.432924,3394926.326062,1.019796157,1.894260991,3.0038830273613896e-07,2.426678210730508e-07,-0.19595678275099693,So111111,So111111,-19.215289389543845,3,42.46857597402061
EDRWmJsh,EDRWmJsh...6hpump,26neTCej...,YteSU7xW...,2025-11-03 12:44:13,2025-11-03 12:43:55,377590336,377590292,-44,-18,-0.00020833333333333335,8515998.739876,8592561.74094,8515998.739876,1.799028098,1.169070954,2.112527435656003e-07,1.3605615987952238e-07,-0.6403740119136198,So111111,So111111,-35.5955536561953,4,32.952917159850514
EDRWmJsh,EDRWmJsh...6hpump,5VtoPKpo...,3k9tCs6H...,2025-11-03 12:47:27,2025-11-03 12:44:40,377590822,377590404,-418,-167,-0.0019328703703703704,8297211.524068,8515998.739876,8297211.524068,1.706610388,1.116224595,2.056848114634149e-07,1.310738328052234e-07,-0.6190630719447382,So111111,So111111,-36.274423049201445,4,32.952917159850514
EDRWmJsh,EDRWmJsh...6hpump,2smG5cT2...,5TiFrsVF...,2025-11-03 12:47:29,2025-11-03 13:07:07,377590826,377593773,2947,1178,0.01363425925925926,3080736.461811,15672612.646024,3080736.461811,0.714958628,2.580999752,2.3207393325027032e-07,1.6468216310155385e-07,-0.20761628352313696,So111111,So111111,-29.038922728146577,4,32.952917159850514
